Age,gender,EstimatedSalary,Purchased
37,0,74000,0
47,1,144000,1
40,0,61000,0
43,0,133000,0
59,0,76000,1
60,1,42000,1
39,1,106000,1
57,1,26000,1
57,0,74000,1
38,0,71000,0
49,1,88000,1
52,1,38000,1
50,0,36000,1
59,1,88000,1
35,0,61000,0
37,0,70000,1
52,0,21000,1
48,1,141000,0
37,1,93000,1
37,0,62000,0
48,0,138000,1
41,1,79000,0
37,1,78000,1
39,1,134000,1
49,1,89000,1
55,1,39000,1
37,1,77000,0
35,0,57000,0
36,0,63000,0
42,0,73000,1
43,0,112000,1
45,0,79000,0
46,0,117000,1
58,1,38000,1
48,1,74000,1
37,0,137000,1
37,0,79000,1
40,1,60000,0
42,0,54000,0
51,1,134000,0
47,0,113000,1
36,1,125000,1
38,0,50000,0
42,1,70000,0
39,1,96000,1
38,0,50000,0
49,1,141000,1
39,1,79000,0
39,1,75000,1
54,0,104000,1
35,1,55000,0
45,0,32000,1
36,1,60000,0
52,0,138000,1
53,0,82000,1
41,1,52000,0
48,0,30000,1
48,1,131000,1
41,1,60000,0
41,0,72000,0
42,1,75000,0
36,0,118000,1
47,0,107000,1
38,1,51000,0
48,1,119000,1
42,1,65000,0
40,1,65000,0
57,0,60000,1
36,1,54000,0
58,1,144000,1
35,0,79000,0
38,1,55000,0
39,1,122000,1
53,0,104000,1
35,1,75000,0
38,0,65000,0
47,1,51000,1
47,1,105000,1
41,0,63000,0
53,1,72000,1
54,1,108000,1
39,1,77000,0
38,1,61000,0
38,0,113000,1
37,1,75000,0
42,0,90000,1
37,0,57000,0
36,0,99000,1
60,1,34000,1
54,1,70000,1
41,0,72000,0
40,0,71000,1
42,1,54000,0
43,0,129000,1
53,1,34000,1
47,0,50000,1
42,1,79000,0
42,0,104000,1
59,0,29000,1
58,1,47000,1
46,1,88000,1
38,0,71000,0
54,0,26000,1
60,0,46000,1
60,0,83000,1
39,1,73000,0
59,1,130000,1
37,0,80000,0
46,0,32000,1
46,1,74000,0
42,1,53000,0
41,0,87000,1
58,0,23000,1
42,1,64000,0
48,1,33000,1
44,0,139000,1
49,1,28000,1
57,0,33000,1
56,1,60000,1
49,0,39000,1
39,1,71000,0
47,1,34000,1
48,1,35000,1
48,0,33000,1
47,0,23000,1
45,1,45000,1
60,1,42000,1
39,0,59000,0
46,1,41000,1
51,0,23000,1
50,0,20000,1
36,1,33000,0
49,0,36000,1
